код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2578644,718000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X9110,"Hitachi CP-X9110 Проектор Hitachi CP-X9110 (без объектива), 1-chip DLP, XGA, 1024x768, 10 000 Lm, контрастность 2000:1, HDBaseT, HDMI x2, 16.6 кг",,?
2578825,789000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-X9110-SD,"Hitachi CP-X9110-SD Проектор Hitachi CP-X9110 (со стандартным объективом), 1-chip DLP, XGA, 1024x768, 10 000 Lm, контрастность 2000:1, HDBaseT, HDMI x2, вес 16.6 кг",,?
2578523,6600.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi HAS-WM03 (настенное крепление),"Hitachi HAS-WM03 (настенное крепление) Настенное крепление для ультракороткофокусных моделей CP-AX2505, CP-AX3005, CP-AX3505, CP-AW2505, CP-AW3005, CP-AW3506, CP-TW2505, CP-TW3005, CP-TW3506",**** /рез.:****,?
2578834,299000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-TW3001 (УКФ интерактив),"Hitachi LP-TW3001 (УКФ интерактив) Лазерный, Интерактивный, Ультракороткофокусный, LCD, WXGA, 1280x800, 3300 Lm, 500000:1, 20000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 34 дБ, 7.7 кг, 512x424x155 мм, цвет белый",,?
2578835,362500.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-TW4001 (УКФ интерактив),"Hitachi LP-TW4001 (УКФ интерактив) Лазерный, Интерактивный, Ультракороткофокусный, LCD, WXGA, 1280x800, 4200 Lm, 500000:1, 20000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 34 дБ, 7.9 кг, 512x424x155 мм, цвет белый",,?
2578680,380000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU3500EF,"Hitachi LP-WU3500EF LED Проектор LP-WU3500 (с объективом), DLP, WUXGA, 1920x1200, 3500 Lm, контрастность 30000:1, сшивка и коррекция геометрии, срок службы всех компонентов проектора 20000 часов",,?
2578683,408000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU6500,"Hitachi LP-WU6500 Лазерный 1-чиповый DLP-проектор (с объективом), WUXGA, 1920x1200, 5000 Lm, 30000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет белый",,?
2578684,757000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU6600,"Hitachi LP-WU6600 Лазерный 1-чиповый DLP-проектор (без объектива), WUXGA, 1920x1200, 6000 Lm, 20000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет белый",,?
2578831,818500.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU6600-SD,"Hitachi LP-WU6600-SD Лазерный 1-чиповый DLP-проектор (со стандартным объективом), WUXGA, 1920x1200, 6000 Lm, 20000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет белый",,?
2578686,1999900.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9100,"Hitachi LP-WU9100 Лазерный 1-чиповый DLP-проектор Hitachi LP-WU9100 (без объектива), WUXGA, 1920x1200, 10000 Lm, 30000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет черный",,?
2578832,2070000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9100-SD,"Hitachi LP-WU9100-SD Лазерный 1-чиповый DLP-проектор Hitachi LP-WU9100 (со стандартным объективом), WUXGA, 1920x1200, 10000 Lm, 30000:1, HDBaseT, HDMI x2, DVI-D, вес 28 кг, цвет черный",,?
2578685,1350000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9750BGD,"Hitachi LP-WU9750BGD Лазерный 1-чиповый DLP-проектор Hitachi CP-WU9750 (без объектива), WUXGA, 1920х1200, 8000 Lm, контрастность 20000:1, портретный режим, HDBaseT, вес 29 кг",,?
2578833,1425000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WU9750-SD,"Hitachi LP-WU9750-SD Лазерный 1-чиповый DLP-проектор Hitachi CP-WU9750 (со стандартным объективом), WUXGA, 1920х1200, 8000 Lm, контрастность 20000:1, портретный режим, HDBaseT, вес 29 кг",,?
2578678,380000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi LP-WX3500EF,"Hitachi LP-WX3500EF LED Проектор LP-WU3500 (с объективом), DLP, WXGA, 1280x800, 3500 Lm, контрастность 30000:1, сшивка и коррекция геометрии, срок службы всех компонентов проектора 20000 часов",,?
2574973,180000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-AE8000EA,"Panasonic PT-AE8000EA 3D, 2,400 лм, LCD, FullHD (1080p), 500,000:1",,?
2573942,160000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-AR100EA,"Panasonic PT-AR100EA 2,800 лм, LCD, FullHD (1080p), 50,000:1",,?
2571838,125000.0,RUR,Проекторы,PANASONIC,Проекторы PANASONIC Panasonic PT-D5000ELS,"Panasonic PT-D5000ELS DLP, 1024х768, 1000:1, 5000 Lm, 2-х ламповый, VGA, DVI, RGB (BNC), S-Video, композитный, компонентный, RS-232, Ethernet, 15.2 кг, 498x175x432 мм. Без объектива, моторизованные зум-фокус, сменная оптика",,?
